epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4142,1.20432,2.84825,2.07352,1.51099,0,0.42059,0.39738,0.30794,0.13592,0.38729,0.35808,0.24847,0.09946,1.81511,4.29412,2.74491,2.2892,0,0.00066323,0.00066323,0.00066323
2,89.0437,1.35122,2.68387,1.82288,1.61798,0,0.22037,0.30568,0.14874,0.05077,0.23724,0.31004,0.14601,0.05271,2.26087,3.73531,2.87159,2.71902,0,0.00128601,0.00128601,0.00128601
3,131.735,1.35579,2.70022,1.71572,1.61888,0,0.39786,0.4328,0.33426,0.13921,0.41895,0.43231,0.34284,0.13502,1.89219,3.43043,2.80779,2.37664,0,0.00186479,0.00186479,0.00186479
4,174.013,1.34217,2.63322,1.62293,1.59531,0,0.56895,0.5418,0.4633,0.22485,0.56446,0.49345,0.424,0.21143,1.68058,3.27599,1.95252,2.21442,0,0.001802,0.001802,0.001802
5,217.867,1.31112,2.59475,1.54751,1.57757,0,0.60948,0.44978,0.50931,0.26796,0.67458,0.43668,0.47604,0.2429,1.77659,3.33264,2.05565,2.24199,0,0.001736,0.001736,0.001736
6,262.412,1.25307,2.49056,1.46725,1.53618,0,0.74856,0.57203,0.61604,0.31701,0.69246,0.51965,0.53557,0.26352,1.61586,3.33426,1.76276,2.04083,0,0.00167,0.00167,0.00167
7,306.922,1.20032,2.43293,1.38789,1.48551,0,0.71993,0.59389,0.64871,0.36173,0.71214,0.58079,0.62174,0.35579,1.55252,2.80772,1.64364,2.0072,0,0.001604,0.001604,0.001604
8,352.919,1.17153,2.353,1.34098,1.46757,0,0.74995,0.61555,0.6654,0.38826,0.7076,0.58079,0.62109,0.35682,1.56377,2.81334,1.61087,1.9618,0,0.001538,0.001538,0.001538
9,397.799,1.14524,2.3756,1.31129,1.45549,0,0.6541,0.56332,0.61136,0.34428,0.62038,0.54148,0.57659,0.31663,1.64506,3.05329,1.5963,2.14058,0,0.001472,0.001472,0.001472
10,441.451,1.08351,2.2432,1.23165,1.39896,0,0.75422,0.58515,0.645,0.38396,0.73167,0.55964,0.63714,0.35283,1.50704,2.78572,1.58243,1.92489,0,0.001406,0.001406,0.001406
11,485.749,1.11062,2.24713,1.23576,1.42088,0,0.70486,0.64629,0.67767,0.39265,0.72334,0.64192,0.66732,0.38078,1.50652,2.74335,1.54085,1.96455,0,0.00134,0.00134,0.00134
12,530.12,1.07906,2.22368,1.19432,1.40914,0,0.68563,0.67249,0.67016,0.40052,0.74606,0.59825,0.64023,0.36434,1.4378,2.76598,1.42492,1.8411,0,0.001274,0.001274,0.001274
13,573.196,1.03766,2.15974,1.14664,1.3803,0,0.76786,0.64192,0.72694,0.43875,0.73299,0.65931,0.69513,0.43091,1.40164,2.62344,1.33744,1.8042,0,0.001208,0.001208,0.001208
14,616.793,1.03229,2.10107,1.12497,1.35592,0,0.69749,0.65066,0.69037,0.42264,0.69749,0.65066,0.65403,0.39816,1.4314,2.69893,1.46459,1.87287,0,0.001142,0.001142,0.001142
15,660.652,0.99316,2.06996,1.07214,1.34014,0,0.76558,0.62751,0.7287,0.44305,0.75675,0.62882,0.70966,0.42292,1.37428,2.57943,1.46085,1.76484,0,0.001076,0.001076,0.001076
16,704.369,0.99321,2.04828,1.07376,1.34276,0,0.78869,0.60303,0.71785,0.47111,0.77026,0.571,0.66587,0.42538,1.28114,2.65114,1.34585,1.68073,0,0.00101,0.00101,0.00101
17,748.4,0.95131,1.99706,1.0287,1.31554,0,0.72496,0.65939,0.69656,0.43632,0.70464,0.61572,0.64128,0.37272,1.34425,3.01108,1.44542,1.70482,0,0.000944,0.000944,0.000944
18,791.478,0.92153,1.9675,0.99436,1.29228,0,0.78298,0.65502,0.72352,0.46961,0.80146,0.61699,0.67686,0.42434,1.26081,2.64898,1.32864,1.69934,0,0.000878,0.000878,0.000878
19,834.776,0.91657,1.94016,0.96596,1.28948,0,0.7538,0.70742,0.73284,0.48347,0.73526,0.69131,0.69192,0.44238,1.26875,2.58179,1.26076,1.68772,0,0.000812,0.000812,0.000812
20,877.729,0.90536,1.9237,0.9526,1.28041,0,0.7273,0.70742,0.73326,0.45032,0.75135,0.65066,0.7103,0.42146,1.30565,2.4651,1.32444,1.71103,0,0.000746,0.000746,0.000746
21,916.563,0.96557,1.8242,0.98188,1.43887,0,0.80196,0.6543,0.73688,0.4662,0.80742,0.65909,0.73057,0.43609,1.29749,2.54781,1.34303,1.69001,0,0.00068,0.00068,0.00068
22,954.533,0.89273,1.65308,0.86741,1.36995,0,0.85137,0.64629,0.76607,0.51204,0.84192,0.62445,0.72768,0.45826,1.12477,2.59196,1.19853,1.58693,0,0.000614,0.000614,0.000614
23,992.961,0.86248,1.60661,0.83358,1.33345,0,0.83173,0.64754,0.75233,0.50014,0.83173,0.64754,0.74221,0.45622,1.22171,2.56043,1.1991,1.63191,0,0.000548,0.000548,0.000548
24,1028.57,0.83632,1.60434,0.77472,1.31807,0,0.87961,0.62009,0.75439,0.49931,0.76836,0.66376,0.70528,0.44274,1.16921,2.63017,1.20882,1.63804,0,0.000482,0.000482,0.000482
25,1066.34,0.82193,1.54307,0.74846,1.30629,0,0.81463,0.62882,0.75072,0.49218,0.79201,0.64629,0.72878,0.44541,1.19898,2.60925,1.20256,1.60382,0,0.000416,0.000416,0.000416
26,1102.33,0.76699,1.50068,0.70179,1.25139,0,0.73774,0.67249,0.73102,0.47959,0.75636,0.69137,0.72541,0.43407,1.18028,2.62389,1.2133,1.61124,0,0.00035,0.00035,0.00035
27,1138.7,0.74682,1.50945,0.69797,1.22473,0,0.75588,0.70742,0.7659,0.51101,0.75659,0.72489,0.73949,0.47022,1.15773,2.45518,1.15799,1.57865,0,0.000284,0.000284,0.000284
28,1174.67,0.71447,1.44957,0.65567,1.20292,0,0.75042,0.71179,0.77133,0.51508,0.76795,0.67923,0.74165,0.46662,1.17682,2.46919,1.13774,1.60617,0,0.000218,0.000218,0.000218
29,1209.92,0.70191,1.41583,0.62741,1.19877,0,0.80474,0.70191,0.7732,0.52982,0.80344,0.71398,0.76051,0.46852,1.15243,2.5013,1.13123,1.57881,0,0.000152,0.000152,0.000152
30,1247.12,0.69523,1.41229,0.61573,1.18833,0,0.78181,0.72052,0.77025,0.52677,0.79601,0.73273,0.74365,0.46853,1.14632,2.49491,1.11065,1.59758,0,8.6e-05,8.6e-05,8.6e-05
